Time,Level,Module,Message,Screenshot
10:46:00,INFO,PopupLeaderboard,to home fixture initialized.,
10:46:00,INFO,PopupLeaderboard,[to_home] Preparing to go home before test: TestPopupLeaderboard,
10:46:03,INFO,PopupLeaderboard,[to_home] Already at Home screen.,
10:46:03,INFO,setup method,Setting up PopupLeaderboard test environment...,
10:46:06,INFO,tests:test_PopupLeaderboard.py:TestPopupLeaderboard:test_player_campaign_tab,Testing Player Campaign tab...,
10:46:46,INFO,tests:test_PopupLeaderboard.py:TestPopupLeaderboard:test_player_campaign_tab,Checking player 1 ...,
10:47:02,INFO,tests:test_PopupLeaderboard.py:TestPopupLeaderboard:test_player_campaign_tab,Checked player 1 in 16.2071 seconds,
10:47:02,INFO,tests:test_PopupLeaderboard.py:TestPopupLeaderboard:test_player_campaign_tab,Checking player 2 ...,
10:47:19,INFO,tests:test_PopupLeaderboard.py:TestPopupLeaderboard:test_player_campaign_tab,Checked player 2 in 16.3481 seconds,
10:47:19,INFO,tests:test_PopupLeaderboard.py:TestPopupLeaderboard:test_player_campaign_tab,Checking player 3 ...,
10:47:35,INFO,tests:test_PopupLeaderboard.py:TestPopupLeaderboard:test_player_campaign_tab,Checked player 3 in 16.3421 seconds,
10:47:39,INFO,PopupLeaderboard,[to_home] Sent BACK keyevent.,
10:47:40,INFO,PopupLeaderboard,[to_home] Reached Home screen.,
